Knytnæve,Joomeok
Slag fra hoften,Jireugi
Spark,Chagi
Fremad/front,Ap
Indadgående/inderside,An
Udadgående/yderside,Bakkat
Lav sektion,Arae
Midter sektion,Momtong
Høj sektion,Eolgul
Indtag ret stand,Charyeot
Bukke/hilse,Kyeongne
Klar,Joonbi
Stop,Geuman
Vend 180 grader,Dirro dorra
Slap af,Swieo
Taekwondo dragt,Dobog
Træningssal,Dojang
Træner under 1. dan,Chogyo nim
Instruktør 1.-3. dan,Kyosa nim
Instruktør 4.-5. dan,Sabeom nim
Hils på nationalflag,Kukki ae daehayeo kyeongne
Se bilag 1,Nødværgeretten §13
Se bilag 2,Taekwondo
Hånd,Son
Håndkant,Sonnal
Vrist,Baldeung
Underside af hæl,Dwitchook
Slag,Chigi
Dreje,Dollyo
Grundteknik,Poom
Sammensatte grundteknikker,Poomse
Dansk Taekwondo Forbund,DTaF
1 (koreansk),Hanna
2 (koreansk),Dul
3 (koreansk),Set
4 (koreansk),Net
1 (sino-koreansk),Il
2 (sino-koreansk),Yi
Arm,Pal
Håndled,Palmok
Inderside af håndled,An palmok
Yderside af håndled,Bakkat palmok
Fodkant,Balnal
Fodballe,Apchook
Svaleteknik,Jebipoom
Hals,Mok
Side,Yeop
5 (koreansk),Dasut
3 (sino-koreansk),Sam
World Taekwondo Federation,WTF
European Taekwondo Union,ETU
Bagside af knytnæve,Deung joomeok
Knytnæve i lodret position,Sewoon joomeok
Håndrod,Batangson
Håndryg,Sondeung
Fingerspidser,Sonkeut
Fingerstik,Pyeon sonkeut
Fodsål,Balbadak
Stik,Chireugi
Dobbelt,Doobeon
Skubbe,Mireo
"Kampråb - ki = energi, hap = samle","Hvad betyder ""kihap""?"
6 (koreansk),Yeoseot
4 (sino-koreansk),Sah
Imaginær kamp (se bilag 3),"Hvad betyder ""poomse""?"
Begynd,Sijak
Break,Kalyeo
Fortsæt,Gyesok
Underside af håndled,Mit palmok
Yderside af knytnæve,Me joomeok
Albue,Palkoop
Ben,Dari
Knæ,Mooreup
Plet,Pyojeok
7 (koreansk),Ilkop
5 (sino-koreansk),Oh
Stand med samlede tæer og hæle drejet 45 grader udad,Apchook moa seogi
Hvilestand med fødder drejet indad,Anchong seogi
Tåspidser,Balkeut
Hæl,Dwitgoomchi
Krop,Mom
8 (koreansk),Yeodeol
6 (sino-koreansk),Yook
Kattenæve,Pyeon joomeok
Dobbelt knytnæve,Doo joomeok
Dækket næve,Bo joomeok
Bjørnehånd,Gom son
Spidsstand,Mo seogi
Støtte,Geodeureo
Kryds,Eotgeoreo
Saks,Gawi
9 (koreansk),Ahop
10 (koreansk),Yeol
7 (sino-koreansk),Chil
Kastanjenæve,Bam joomeok
Inderside af fod,Balnal deung
Spids hestestand,Mo joochoom seogi
Kort hestestand,Ap joochoom seogi
Hage,Teok
Trække,Danggyeo
Bjerg,Santeul
Halvt bjerg,Oesanteul
8 (sino-koreansk),Pal
Se bilag 4,Taekwondo's historie
Pincetnæve,Jibge joomeok
Omvendt knivhånd,Sonnal deung
Sakse fingerstik,Gawi sonkeut
Fingerstik med en finger,Han sonkeut
Fingerstik med to samlede fingre,Moeun doo sonkeut
Fingerstik med tre samlede fingre,Moeun sae sonkeut
Hestestand med indaddrejede fødder,Anchong joochoom seogi
Opadgående,Ollyeo
9 (sino-koreansk),Gu
10 (sino-koreansk),Sip
Se bilag 5,Udvidet kendskab til dommerreglementet: Advarsel og minuspoint
Fingerstik med fem samlede fingre,Modeum sonkeut
Knække,Kkeokki
Runding mellem tommel- og pegefinger,Agwison
Benævnelse for slag mod hals med agwison,Kaljebi
Fingerstik med håndflade opad,Jeochin pyeonsonkeut
T-stand,O-ja seogi
Hjælpestand,Gyeotdari seogi